code,name,weight,shares
2330,台積電,64.16,430148307
2887,台新新光金,0.75,383777157
2891,中信金,1.28,311329134
2883,凱基金,0.46,277296444
2884,玉山金,0.73,270638893
2317,鴻海,3.79,214880239
2890,永豐金,0.53,209377343
2886,兆豐金,0.65,207711054
2303,聯電,0.99,205569414
2002,中鋼,0.31,199034374
2885,元大金,0.7,192011700
2892,第一金,0.44,190831279
5880,合庫金,0.34,184030042
2882,國泰金,0.99,165384632
2880,華南金,0.46,163607600
2881,富邦金,1.06,147556785
1303,南亞,0.57,86649699
1216,統一,0.49,86595314
1301,台塑,0.28,73783957
2412,中華電,0.71,67112145
3711,日月光投控,1.6,57890622
3231,緯創,0.54,53285186
2382,廣達,1.06,46504163
2301,光寶科,0.44,34259458
2308,台達電,3.52,34061915
4904,遠傳,0.23,31194310
2327,國巨*,0.59,27301970
2454,聯發科,3.63,25951649
3045,台灣大,0.21,24857913
2615,萬海,0.17,24767249
6505,台塑化,0.09,20938862
2408,南亞科,0.39,19751582
2603,長榮,0.32,19107644
6919,康霈*,0.2,17260041
2357,華碩,0.48,12009620
3034,聯詠,0.3,10117087
2912,統一超,0.16,9350250
2345,智邦,0.95,8716326
2379,瑞昱,0.31,8548051
2395,研華,0.21,8073301
2360,致茂,0.7,6483989
3017,奇鋐,0.79,5706945
2383,台光電,0.89,4963746
2207,和泰車,0.21,4921530
3665,貿聯-KY,0.4,3138357
6669,緯穎,0.58,1827030
3008,大立光,0.32,1687672
3653,健策,0.34,1461219
3661,世芯-KY,0.36,1396704
2059,川湖,0.25,997710
202603TX,臺股期貨,0.1,188
