code,name,weight,shares,price
2330,台積電,59.62,540957151,2290.0
2887,台新新光金,0.86,513480880,35.55
2891,中信金,1.15,393058334,62.1
2883,凱基金,0.49,348399661,30.0
2884,玉山金,0.57,336029736,35.1
2890,永豐金,0.54,284668130,40.0
2317,鴻海,3.01,270105459,234.0
2886,兆豐金,0.6,261257122,47.6
2303,聯電,1.6,258723709,144.0
2892,第一金,0.4,247565699,34.1
2885,元大金,0.73,244122543,65.0
5880,合庫金,0.28,231396421,25.35
2882,國泰金,0.94,210810518,94.3
2880,華南金,0.39,203204911,40.15
2881,富邦金,1.08,184565541,124.5
1216,統一,0.42,109226520,80.0
1303,南亞,0.97,109084687,199.0
2412,中華電,0.56,84333639,138.0
3711,日月光投控,2.08,73440464,614.0
2344,華邦電,0.49,68379970,155.0
3231,緯創,0.46,66746291,139.0
2382,廣達,0.88,58504597,325.5
2301,光寶科,0.4,43231350,196.5
2308,台達電,3.46,42682818,1740.0
4904,遠傳,0.19,39213041,103.0
2327,國巨*,1.05,34921089,699.0
2454,聯發科,5.18,32621906,3370.0
3045,台灣大,0.17,31236105,111.0
3037,欣興,1.04,29182531,794.0
6505,台塑化,0.09,25361979,81.3
2408,南亞科,0.46,25217129,395.5
2449,京元電子,0.31,24034346,286.5
2603,長榮,0.22,24012660,198.0
4958,臻鼎-KY,0.38,16872026,521.0
2357,華碩,0.49,14918423,700.0
2345,智邦,1.09,10993118,2090.0
2395,研華,0.25,10191082,513.0
2360,致茂,0.71,8147675,1850.0
2368,金像電,0.33,7597364,927.0
3017,奇鋐,0.72,7086602,2200.0
2383,台光電,1.34,6435537,4495.0
8046,南電,0.25,4734392,1150.0
3665,貿聯-KY,0.34,3952263,1765.0
6669,緯穎,0.51,2303618,4620.0
3008,大立光,0.38,2074589,4010.0
3653,健策,0.29,1925690,3210.0
3443,創意,0.32,1775022,3835.0
3661,世芯-KY,0.28,1742857,3480.0
7769,鴻勁,0.36,1261089,6070.0
2059,川湖,0.45,1219232,7890.0
202608NYF,台灣50ETF股票期貨,0.04,888,0.0
202608TX,臺股期貨,0.19,468,0.0
