code,name,weight,shares
2887,台新新光金,2.16,3789000
2883,凱基金控,1.68,3589000
2880,華南金控,2.04,2428000
2891,中信金,2.77,2288000
2303,聯電,3.33,2189000
1102,亞泥,1.72,2136000
2885,元大金,2.28,2135000
1402,遠東新,1.16,1829000
2882,國泰金,2.9,1645000
2881,富邦金控,3.01,1419025
2324,仁寶,0.94,1411000
1605,華新,1.08,1302000
9904,寶成,0.88,1255000
3045,台灣大,2.87,1179000
6005,群益證券,0.81,1161000
2618,長榮航,0.97,1137000
2897,王道銀行,0.24,1115000
2353,宏碁,0.53,878000
4904,遠傳,1.7,791000
6548,長科*,0.68,623000
2820,華票,0.24,621000
1434,福懋,0.24,605000
8150,南茂科技,0.8,602000
9907,統一實,0.24,570000
4938,和碩,0.91,562000
6770,力積電,0.83,500000
3036,文曄,1.92,472000
1303,南亞,0.95,463000
2903,遠百,0.24,462000
2501,國建,0.23,454000
3702,大聯大,0.63,423000
2382,廣達,2.63,411000
2344,華邦電子,1.12,408000
2851,中央再保,0.24,379000
1227,佳格,0.24,347000
2855,統一證券,0.24,343000
1785,光洋科,0.41,293000
5351,鈺創,0.39,285000
1717,長興,0.4,282000
2603,長榮海運,1.2,280000
3264,欣銓,0.96,271000
5347,世界先進,0.81,263000
2377,微星,0.45,218000
8070,長華*,0.21,217000
2385,群光,0.58,208000
8039,台虹科技,0.39,198000
2352,佳世達,0.12,196000
2449,京元電子,1.36,185000
2211,長榮鋼,0.42,181000
2412,中華電,0.54,176000
3005,神基科技,0.39,154000
3105,穩懋,1.02,153000
2376,技嘉,0.79,153000
2474,可成,0.65,149000
2006,東和鋼鐵,0.24,145000
8415,大國鋼,0.11,143000
6239,力成,0.82,142000
2637,慧洋-KY,0.23,142000
3260,威剛科技,0.95,135000
6257,矽格,0.4,135000
3037,欣興,1.28,127000
2379,瑞昱,1.32,123000
4123,晟德,0.12,122000
8112,至上電子,0.2,118000
2441,超豐,0.24,112000
2330,台積電,4.46,102000
2313,華通,0.51,100000
6023,元大期貨,0.21,98000
2915,潤泰,0.12,98000
2357,華碩,1.07,92000
3711,日月光投控,0.76,89000
2850,新光產險,0.23,88000
8021,尖點,0.46,83000
2206,三陽工業,0.11,82000
3010,華立,0.23,80000
2467,志聖,0.49,78000
2451,創見,0.36,70000
3189,景碩科技,0.49,68000
4967,十銓,0.33,68000
6274,台燿,0.84,66000
4915,致伸,0.12,63000
1477,聚陽,0.43,60000
6412,群光電能,0.12,60000
3227,原相,0.23,50000
9917,中保,0.11,46000
5289,宜鼎國際,0.81,44000
3363,上詮,0.55,44000
6121,新普科技,0.34,44000
6531,愛普科技,0.4,43000
6176,瑞儀光電,0.12,40000
1560,中砂,0.44,39000
9958,世紀鋼構,0.1,35000
2368,金像電子,0.62,33000
1795,美時製藥,0.21,33000
6691,洋基工程,0.43,31000
6446,藥華醫藥,0.44,27000
6944,兆聯實業,0.41,26000
5903,全家商店,0.11,25000
2308,台達電子,0.72,23000
3491,昇達科技,0.77,22000
2383,台光電子,0.94,18000
3017,奇鋐,0.63,18000
2327,國巨*,0.12,18000
1519,華城,0.37,17000
6414,樺漢,0.11,17000
3443,創意電子,0.84,15000
4766,南寶,0.1,14000
8299,群聯電子,0.56,12000
5904,寶雅,0.13,12000
7769,鴻勁,1.04,10000
2345,智邦,0.19,6000
5274,信驊科技,1.1,5000
6515,穎崴,0.54,5000
6223,旺矽,0.18,3000
202603TX,台指期貨,8.98,62
