code,name,weight,shares,price
2344,華邦電子,2.78,1619000,181.5
2883,凱基金控,0.45,1466000,32.25
2303,聯電,1.69,1442000,123.5
2890,永豐金控,0.42,1140220,39.15
2408,南亞科,3.83,783000,517.0
2885,元大金,0.46,777360,62.8
2347,聯強,0.47,571000,87.1
3037,欣興,6.21,566000,1160.0
2337,旺宏,0.53,447000,125.5
2330,台積電,8.71,381000,2415.0
3189,景碩科技,2.97,356000,881.0
6274,台燿,4.46,308000,1530.0
3231,緯創,0.45,262000,182.0
8046,南電,2.78,249000,1180.0
2327,國巨*,1.25,245000,537.0
3711,日月光投控,1.13,202000,592.0
3264,欣銓,0.4,196000,217.5
2301,光寶科技,0.51,176000,307.0
3017,奇鋐,4.75,159000,3155.0
2345,智邦,2.96,152000,2055.0
6223,旺矽,5.53,116000,5040.0
2383,台光電子,6.42,115000,5895.0
2455,全新,0.46,113000,428.0
2308,台達電子,1.84,111000,1750.0
2454,聯發科,3.85,103000,3945.0
5289,宜鼎國際,1.33,94000,1500.0
3665,貿聯-KY,1.69,89000,2005.0
8358,金居開發,0.37,88000,449.5
2467,志聖,0.45,83000,570.0
6196,帆宣,0.38,80000,500.0
6213,聯茂,0.37,67000,583.0
6584,南俊國際,0.38,66000,604.0
2395,研華,0.39,60000,688.0
1560,中砂,0.37,58000,682.0
6669,緯穎,3.6,56000,6785.0
6139,亞翔工程,0.37,49000,800.0
3443,創意電子,2.84,49000,6125.0
2368,金像電子,0.41,42000,1040.0
6515,穎崴,2.28,40000,6025.0
6187,萬潤科技,0.48,39000,1300.0
8299,群聯電子,0.74,37000,2125.0
3653,健策,2.0,37000,5725.0
8996,高力,0.4,35000,1195.0
3491,昇達科技,0.42,33000,1345.0
2059,川湖,4.53,33000,14510.0
7769,鴻勁,1.62,27000,6335.0
5274,信驊科技,3.95,26600,15690.0
3081,聯亞光電,0.8,26000,3255.0
2360,致茂,0.43,23000,1980.0
3661,世芯-KY,0.34,9000,3960.0
202609TX,台指期貨,1.71,19,0.0
