code,name,net_shares,net_amount
,國泰臺灣加權反1,1100,2563.0
,期街口布蘭特正2,339,18224.0
,主動群益科技創新,109,1432.0
3481,群創,75,1916.0
0050,元大台灣50,74,5554.0
00919,群益台灣精選高息,50,1127.0
4147,中裕,50,2645.0
0056,元大高股息,44,1706.0
2344,華邦電,38,4078.0
,主動統一台股增長,33,681.0
00927,群益半導體收益,33,792.0
6770,力積電,32,1836.0
2324,仁寶,32,1069.0
,主動復華未來50,31,373.0
1305,華夏,30,521.0
,主動安聯台灣,29,298.0
8091,翔名,28,4328.0
2605,新興,28,1149.0
1304,台聚,26,439.0
1528,恩德,25,538.0
,期元大S&P石油,23,571.0
00918,大華優利高填息30,23,508.0
2489,瑞軒,23,800.0
3049,精金,22,327.0
2882,國泰金,21,1498.0
,主動群益台灣強棒,-550,-8987.0
,元大台灣50反1,-158,-2264.0
2409,友達,-89,-1299.0
,大華優利美A債15,-65,-1065.0
6168,宏齊,-65,-1669.0
6207,雷科,-59,-3422.0
4956,光鋐,-50,-1795.0
6244,茂迪,-40,-1163.0
2887,台新新光金,-35,-859.0
4938,和碩,-35,-2690.0
8422,可寧衛*,-34,-974.0
6152,百一,-30,-550.0
1802,台玻,-30,-1531.0
009805,新光美國電力基建,-29,-429.0
8112,至上,-24,-1922.0
1314,中石化,-24,-200.0
4931,新盛力,-22,-3109.0
2014,中鴻,-21,-388.0
1409,新纖,-21,-334.0
4714,永捷,-20,-286.0
3576,聯合再生,-20,-404.0
1309,台達化,-19,-407.0
,主動安聯台灣高息,-19,-234.0
00934,中信成長高股息,-19,-401.0
3221,台嘉碩,-16,-608.0
