code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一升級50,1042,83,959,873.2,9.1
,元大台灣50正2,512,62,450,1393.2,30.91
009816,凱基台灣TOP50,446,2,444,625.0,14.06
0050,元大台灣50,294,19,275,2691.9,97.65
,群益臺灣加權正2,390,129,261,265.9,10.17
,主動凱基台灣,200,34,166,138.5,8.34
,主動統一台股增長,171,39,132,343.5,25.85
,主動富邦台灣龍耀,126,28,98,71.3,7.28
2303,聯電,103,22,81,922.7,113.78
0056,元大高股息,95,14,81,391.8,48.52
1314,中石化,57,4,53,41.5,7.83
3532,台勝科,51,0,51,1803.8,353.68
6770,力積電,57,8,49,278.7,56.06
,主動復華未來50,52,8,44,68.2,15.45
8422,可寧衛*,43,0,43,107.5,25.0
00712,復華富時不動產,34,0,34,29.9,8.8
,主動第一金優股息,32,0,32,30.5,9.54
6488,環球晶,34,3,31,3083.1,989.3
5512,力麒,45,15,30,23.3,7.78
00935,野村臺灣新科技50,29,0,29,150.1,51.35
2344,華邦電,40,12,28,410.2,144.33
00929,復華台灣科技優息,28,1,27,73.8,27.5
2891,中信金,25,0,25,157.1,62.33
00878,國泰永續高股息,31,7,24,78.2,31.74
00919,群益台灣精選高息,40,16,24,71.2,28.95
,主動國泰動能高息,272,778,-506,-641.3,12.68
,元大台灣50反1,53,493,-440,-481.9,10.96
3481,群創,221,365,-144,-646.1,44.78
2409,友達,76,215,-139,-323.5,23.19
,主動中信台灣收益,387,504,-117,-100.9,8.66
5871,中租-KY,2,92,-90,-1080.2,120.02
4976,佳凌,1,80,-79,-262.8,33.02
6176,瑞儀,5,73,-68,-586.5,85.16
1101,台泥,0,68,-68,-164.7,24.36
2327,國巨*,58,123,-65,-3730.3,572.58
8027,鈦昇,23,87,-64,-1142.8,178.55
,元大美債20年,0,64,-64,-172.0,26.88
,主動統一全球創新,24,85,-61,-94.0,15.63
2527,宏璟,0,60,-60,-262.6,43.77
1717,長興,3,50,-47,-277.5,59.04
2646,星宇航空,0,46,-46,-100.0,21.73
2332,友訊,4,48,-44,-105.8,23.98
2883,凱基金,9,53,-44,-129.7,29.48
6907,雅特力-KY,0,32,-32,-574.3,180.02
1409,新纖,4,29,-25,-55.0,21.99
5285,界霖,6,27,-21,-157.9,74.15
2540,愛山林,0,21,-21,-116.7,55.57
2887,台新新光金,3,23,-20,-69.6,33.94
2601,益航,0,20,-20,-12.6,6.32
00887,永豐中國科技50大,0,20,-20,-34.0,16.99
