code,name,net_shares,net_amount
,期元大S&P原油反1,192,3172.0
009816,凱基台灣TOP50,129,1366.0
2101,南港,100,3698.0
00927,群益半導體收益,87,2113.0
8112,至上,76,5700.0
2356,英業達,67,2769.0
00881,國泰台灣科技龍頭,67,2444.0
2327,國巨*,65,16282.0
0056,元大高股息,60,2273.0
,元大滬深300正2,60,1157.0
1582,信錦,57,5986.0
,主動統一全球創新,54,673.0
00891,中信關鍵半導體,51,1203.0
9910,豐泰,50,3971.0
,元大美債20正2,45,315.0
0050,元大台灣50,43,3221.0
,期元大S&P石油,42,1151.0
2402,毅嘉,37,1960.0
3105,穩懋,31,11427.0
,元大台灣50正2,30,621.0
,主動野村台灣50,30,477.0
2330,台積電,26,45576.0
2484,希華,21,661.0
00904,新光臺灣半導體30,20,554.0
9904,寶成,19,541.0
00919,群益台灣精選高息,-234,-5241.0
,主動復華未來50,-112,-1419.0
8046,南電,-106,-62860.0
00955,中信日本商社,-100,-1606.0
2409,友達,-70,-1234.0
,主動群益科技創新,-59,-795.0
3703,欣陸,-50,-1115.0
6933,AMAX-KY,-36,-5041.0
,台新美國非投等債,-31,-309.0
,元大台灣50反1,-25,-374.0
,凱基A級公司債,-25,-354.0
,期元大道瓊白銀,-25,-1454.0
2633,台灣高鐵,-20,-528.0
3576,聯合再生,-18,-367.0
5243,乙盛-KY,-17,-1613.0
4958,臻鼎-KY,-15,-3428.0
,主動群益台灣強棒,-14,-238.0
6116,彩晶,-14,-116.0
1314,中石化,-12,-99.0
00922,國泰台灣領袖50,-12,-322.0
3714,富采,-11,-628.0
3231,緯創,-11,-1366.0
6770,力積電,-10,-619.0
6147,頎邦,-10,-850.0
3264,欣銓,-10,-1750.0
