code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3260,威剛,471,1,470,20466.0,435.36
7795,長廣,384,1,383,17272.3,450.97
6015,宏遠證,76,0,76,143.6,18.9
8358,金居,64,7,57,4063.1,714.9
2344,華邦電,179,124,55,1268.9,230.79
,元大台灣50反1,152,102,50,49.6,9.88
6182,合晶,58,8,50,596.7,119.22
00964,中信亞太高股息,43,0,43,61.8,14.38
009813,貝萊德標普卓越50,40,0,40,43.9,10.98
6120,達運,64,26,38,58.6,15.41
6526,達發,32,0,32,2305.6,712.65
4739,康普,30,0,30,372.8,123.02
6620,漢達,30,0,30,269.7,89.9
2327,國巨*,54,24,30,3184.7,1063.64
3481,群創,397,368,29,189.8,65.29
2324,仁寶,55,26,29,109.6,37.71
1905,華紙,32,3,29,54.2,18.69
4164,承業醫,26,0,26,79.4,30.54
6789,采鈺,26,2,24,1358.0,576.79
2312,金寶,52,29,23,82.9,36.03
8271,宇瞻,25,2,23,498.7,216.83
00955,中信日本商社,22,1,21,29.7,14.14
00712,復華富時不動產,20,0,20,17.1,8.57
009822,華南永昌未來金融,20,0,20,19.9,9.94
2601,益航,20,0,20,11.6,5.8
2356,英業達,10,1823,-1813,-12479.8,68.82
,主動統一台股增長,7,1332,-1325,-4270.1,32.22
6411,晶焱,1,638,-637,-7338.8,115.21
00947,台新臺灣IC設計,13,550,-537,-2303.1,42.92
,主動統一升級50,139,441,-302,-344.0,11.4
,主動統一全球創新,13,298,-285,-676.7,23.74
2374,佳能,4,285,-281,-2131.5,75.85
8046,南電,12,201,-189,-16603.4,881.33
1802,台玻,13,190,-177,-1364.4,76.81
,元大滬深300正2,0,172,-172,-389.4,22.64
,主動元大AI新經濟,2,169,-167,-361.9,21.67
8936,國統,6,173,-167,-1010.3,60.5
4716,大立,0,145,-145,-287.1,19.8
,主動台新優勢成長,0,143,-143,-259.7,18.16
2409,友達,11,142,-131,-394.3,30.01
2449,京元電子,20,143,-123,-4194.4,338.71
2426,鼎元,23,107,-84,-749.9,89.25
3624,光頡,2,85,-83,-1439.4,173.42
00892,富邦台灣半導體,0,80,-80,-380.5,47.56
,期元大S&P原油反1,0,75,-75,-109.1,14.55
6239,力成,8,81,-73,-2680.9,370.28
,主動群益科技創新,1,73,-72,-139.9,19.43
,主動富邦台灣龍耀,51,122,-71,-70.5,9.82
,主動野村臺灣高息,30,100,-70,-79.9,11.42
2303,聯電,0,69,-69,-1107.9,160.0
