code,name,net_shares,net_amount
2409,友達,571,9587.0
6257,矽格,246,38624.0
2426,鼎元,246,8558.0
8021,尖點,192,51260.0
8111,立碁,168,10117.0
,元大台灣50正2,164,3387.0
2337,旺宏,157,21340.0
3349,寶德,156,4322.0
2489,瑞軒,114,4164.0
2367,燿華,106,7683.0
8034,榮群,101,2582.0
00955,中信日本商社,101,1601.0
1309,台達化,79,2079.0
2317,鴻海,77,14749.0
4906,正文,70,2578.0
,富邦日本反1,70,292.0
2610,華航,66,1202.0
8096,擎亞,64,5955.0
6290,良維,63,12746.0
7795,長廣,60,20211.0
3189,景碩,58,21280.0
3052,夆典,58,638.0
,主動統一全球創新,58,750.0
00882,中信中國高股息,49,758.0
3583,辛耘,48,24343.0
3714,富采,-3390,-176693.0
1326,台化,-1557,-71625.0
6664,群翊,-608,-221944.0
3163,波若威,-523,-513461.0
6770,力積電,-496,-26539.0
6282,康舒,-474,-20927.0
5475,德宏,-327,-84573.0
1310,台苯,-263,-3007.0
00918,大華優利高填息30,-235,-5174.0
5340,建榮,-233,-26539.0
2313,華通,-215,-59357.0
2883,凱基金,-214,-4360.0
1304,台聚,-147,-2542.0
009816,凱基台灣TOP50,-143,-1521.0
2891,中信金,-143,-7903.0
2481,強茂,-105,-10831.0
3529,力旺,-101,-279909.0
6693,廣閎科,-100,-11850.0
6768,志強-KY,-96,-8019.0
6285,啟碁,-93,-18133.0
2303,聯電,-92,-5535.0
7721,微程式,-88,-7495.0
2887,台新新光金,-87,-2125.0
,主動群益台灣強棒,-86,-1409.0
00935,野村臺灣新科技50,-77,-2885.0
