code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
6199,天品,1673,1192,481,5446.2,113.23
8150,南茂,1001,542,459,4724.4,103.03
6147,頎邦,447,274,173,3984.3,230.88
00712,復華富時不動產,171,0,171,135.3,7.87
,元大台灣50反1,204,63,141,134.6,9.59
3094,聯傑,120,3,117,663.8,56.78
,群益投資級電信債,113,0,113,386.3,34.19
00882,中信中國高股息,112,0,112,165.2,14.75
6443,元晶,108,9,99,277.3,28.01
2406,國碩,315,220,95,287.2,30.43
,主動中信台灣收益,349,262,87,84.5,9.67
4903,聯光通,91,6,85,348.2,40.98
6770,力積電,208,124,84,609.1,72.79
3714,富采,127,45,82,561.4,68.71
3055,蔚華科,83,3,80,1504.0,188.0
5314,世紀*,176,101,75,225.4,29.9
00961,FT臺灣永續高息,66,0,66,88.9,13.29
2363,矽統,88,23,65,384.5,59.25
009829,大華韓國KOSPI50,66,2,64,68.9,10.77
6182,合晶,162,105,57,647.5,114.68
6538,倉和,75,20,55,2369.2,431.04
009828,中信台日韓PCB,53,0,53,50.0,9.44
2489,瑞軒,69,17,52,228.5,43.69
2344,華邦電,721,670,51,1082.1,211.16
3178,公準,87,38,49,346.4,70.86
1314,中石化,15,810,-795,-733.6,9.23
2409,友達,3605,4398,-793,-2613.5,32.95
,主動統一升級50,56,527,-471,-493.9,10.47
,主動復華全球50,10,450,-440,-435.7,9.9
2883,凱基金,6,351,-345,-1388.8,40.26
,群益臺灣加權正2,79,402,-323,-409.1,12.64
4956,光鋐,25,327,-302,-1349.6,44.64
3481,群創,341,611,-270,-1347.5,49.91
8110,華東,50,304,-254,-1296.3,51.1
2328,廣宇,11,207,-196,-938.7,47.7
2897,王道銀行,0,185,-185,-209.4,11.35
2913,農林,3,184,-181,-201.4,11.1
6257,矽格,37,207,-170,-4280.6,251.16
,元大美債20正2,0,150,-150,-94.5,6.3
,元大台灣50正2,87,226,-139,-533.2,38.42
00919,群益台灣精選高息,16,147,-131,-420.2,32.16
2468,華經,13,136,-123,-591.4,47.85
6919,康霈*,9,133,-124,-1011.9,81.93
,主動聯博全球非投,0,121,-121,-119.2,9.85
6142,友勁,0,110,-110,-100.2,9.11
2548,華固,10,110,-100,-940.5,94.02
4915,致伸,7,92,-85,-550.9,64.78
6668,中揚光,11,95,-84,-420.8,50.34
,主動聯博投等入息,0,82,-82,-162.6,19.83
,主動群益美國增長,0,81,-81,-90.3,11.15
