code,name,net_shares,net_amount
009800,中信NASDAQ,200,2050.0
,群益優選非投等債,180,1730.0
2344,華邦電,104,9838.0
0050,元大台灣50,98,7231.0
,主動群益科技創新,67,880.0
009816,凱基台灣TOP50,55,570.0
2610,華航,50,918.0
3062,建漢,39,1171.0
3576,聯合再生,36,787.0
0056,元大高股息,34,1301.0
2103,台橡,30,600.0
1310,台苯,27,321.0
2515,中工,25,337.0
2324,仁寶,23,654.0
00712,復華富時不動產,22,185.0
2027,大成鋼,21,781.0
00881,國泰台灣科技龍頭,20,727.0
4934,太極,20,336.0
,群益ESG投等債20+,20,293.0
2609,陽明,19,1021.0
4906,正文,19,669.0
00922,國泰台灣領袖50,16,447.0
0052,富邦科技,16,702.0
2243,宏旭-KY,15,343.0
00961,FT臺灣永續高息,15,149.0
2388,威盛,-212,-11822.0
1314,中石化,-56,-462.0
8937,合騏,-40,-5985.0
5243,乙盛-KY,-31,-2519.0
,元大台灣50反1,-26,-380.0
8422,可寧衛*,-25,-725.0
,元大美債20年,-25,-678.0
1301,台塑,-19,-925.0
4534,慶騰,-19,-482.0
6443,元晶,-18,-779.0
,元大優息投等債,-15,-138.0
,期街口布蘭特正2,-14,-874.0
2355,敬鵬,-13,-673.0
00919,群益台灣精選高息,-13,-273.0
,期元大S&P石油,-12,-336.0
1303,南亞,-11,-907.0
2409,友達,-11,-154.0
4303,信立,-10,-581.0
,國泰10Y+金融債,-10,-159.0
5314,世紀*,-7,-567.0
2419,仲琦,-6,-201.0
3714,富采,-5,-235.0
3679,新至陞,-5,-588.0
00661,元大日經225,-5,-331.0
5534,長虹,-5,-393.0
