code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
5202,力新,110,5,105,167.9,15.99
009816,凱基台灣TOP50,127,38,89,135.9,15.16
9105,泰金寶-DR,103,14,89,115.5,12.89
3049,精金,90,2,88,138.8,15.74
0050,元大台灣50,90,7,83,856.8,104.07
2345,智邦,75,0,75,18667.2,2485.98
3481,群創,120,45,75,378.1,50.83
,元大台灣50反1,79,19,60,61.8,10.37
,元大台灣50正2,155,101,54,200.2,36.8
3630,新鉅科,52,0,52,158.1,30.41
2344,華邦電,81,35,46,759.8,165.62
1718,中纖,115,70,45,42.7,9.5
2409,友達,199,162,37,105.8,28.43
00915,凱基優選高股息30,35,0,35,105.1,30.03
00935,野村臺灣新科技50,33,1,32,191.6,59.86
6140,訊達,31,0,31,74.7,24.09
00919,群益台灣精選高息,40,11,29,90.5,30.67
2408,南亞科,43,15,28,1015.8,359.08
,主動群益美國增長,28,0,28,37.8,13.4
,主動野村臺灣高息,28,3,25,28.1,11.15
1802,台玻,40,17,23,155.9,66.64
6770,力積電,25,3,22,165.1,74.46
0056,元大高股息,33,12,21,111.2,51.27
00927,群益半導體收益,20,0,20,77.1,38.57
4542,科嶠,20,0,20,561.4,283.56
2002,中鋼,43,181,-138,-265.1,19.2
,主動統一台股增長,73,199,-126,-376.5,30.0
,主動統一升級50,127,230,-103,-106.3,10.38
2883,凱基金,39,127,-88,-240.4,27.29
2371,大同,9,62,-53,-161.6,30.48
2618,長榮航,1,40,-39,-148.2,38.01
8043,蜜望實,6,44,-38,-584.0,152.75
,群益ESG投等債20+,0,35,-35,-52.2,14.92
6226,光鼎,0,30,-30,-40.8,13.6
00878,國泰永續高股息,1,27,-26,-83.0,32.32
6116,彩晶,1,22,-21,-39.3,18.45
2609,陽明,42,62,-20,-110.0,54.97
6443,元晶,0,20,-20,-79.7,39.84
1513,中興電,15,34,-19,-317.4,175.54
2303,聯電,22,38,-16,-204.5,130.05
3376,新日興,0,14,-14,-333.1,234.43
1312,國喬,1,15,-14,-19.6,14.01
9958,世紀鋼,11,24,-13,-155.2,119.62
3362,先進光,21,33,-12,-169.1,140.88
4532,瑞智,0,12,-12,-29.6,24.63
2610,華航,3,15,-12,-24.0,20.02
2377,微星,3,15,-12,-167.8,139.83
2615,萬海,5,16,-11,-95.4,86.47
2483,百容,0,10,-10,-30.5,30.45
2305,全友,0,10,-10,-22.3,22.25
