code,name,net_shares,net_amount
3576,聯合再生,233,5348.0
2605,新興,164,7250.0
,主動統一台股增長,146,3018.0
,群益優選非投等債,110,1060.0
009816,凱基台灣TOP50,91,963.0
0050,元大台灣50,66,4926.0
4906,正文,65,2422.0
,元大美債20正2,58,405.0
00919,群益台灣精選高息,58,1299.0
,期街口布蘭特正2,54,3011.0
,主動兆豐台灣豐收,53,530.0
2324,仁寶,49,1459.0
,主動復華未來50,49,601.0
2409,友達,47,681.0
1314,中石化,43,349.0
4167,松瑞藥,42,911.0
0056,元大高股息,34,1330.0
5512,力麒,32,254.0
3048,益登,31,1118.0
6461,益得,31,575.0
3049,精金,30,376.0
,主動群益科技創新,27,362.0
4707,磐亞,26,273.0
2330,台積電,25,44648.0
,主動統一全球創新,21,269.0
,元大台灣50反1,-543,-7759.0
009805,新光美國電力基建,-193,-2857.0
4114,健喬,-62,-1927.0
4949,有成精密,-55,-3753.0
2313,華通,-53,-14371.0
5607,遠雄港,-51,-2347.0
2838,聯邦銀,-50,-1045.0
00887,永豐中國科技50大,-50,-610.0
2374,佳能,-43,-3062.0
2367,燿華,-32,-2529.0
,大華優利美A債15,-30,-491.0
6285,啟碁,-25,-4603.0
1310,台苯,-25,-285.0
6116,彩晶,-25,-206.0
2308,台達電,-18,-25600.0
,元大美債20年,-16,-434.0
2442,新美齊,-16,-326.0
,期元大S&P黃金正2,-15,-1330.0
4989,榮科,-15,-954.0
,期元大S&P石油,-14,-357.0
4956,光鋐,-14,-488.0
00713,元大台灣高息低波,-14,-721.0
6277,宏正,-13,-868.0
3346,麗清,-13,-242.0
3062,建漢,-13,-366.0
