code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一台股增長,424,91,333,894.8,26.86
,主動復華未來50,309,8,301,474.0,15.75
,元大台灣50正2,190,32,158,427.9,26.97
2371,大同,158,21,137,434.1,31.68
6116,彩晶,113,5,108,95.7,8.86
,主動摩根台灣鑫收,102,0,102,120.6,11.82
,元大美債20正2,100,0,100,70.8,7.08
3024,憶聲,112,27,85,116.2,13.63
,主動國泰動能高息,71,0,71,89.5,12.57
2337,旺宏,109,48,61,804.2,131.24
6188,廣明,65,5,60,539.2,89.19
2399,映泰,69,15,54,233.3,43.2
2892,第一金,50,0,50,144.2,28.73
,主動群益美國增長,50,0,50,54.1,10.81
00891,中信關鍵半導體,59,13,46,140.2,30.04
6153,嘉聯益,164,121,43,77.1,17.94
2344,華邦電,100,58,42,380.7,90.0
3264,欣銓,47,6,41,852.6,207.94
6191,精成科,46,5,41,461.2,112.49
2409,友達,91,53,38,71.3,18.35
,元大台灣50反1,58,20,38,47.0,12.36
4977,眾達-KY,48,12,36,881.7,245.18
,主動群益科技創新,45,12,33,57.5,17.16
,富邦恒生國企正2,32,0,32,32.6,10.17
4763,材料*-KY,31,0,31,138.7,44.73
,國泰臺灣加權反1,0,200,-200,-40.0,2.0
1449,佳和,1,120,-119,-173.4,14.57
009816,凱基台灣TOP50,136,253,-117,-145.7,12.41
00919,群益台灣精選高息,28,143,-115,-274.8,23.9
1326,台化,8,105,-97,-490.0,50.52
00927,群益半導體收益,0,72,-72,-208.5,28.96
2317,鴻海,22,89,-67,-1479.3,219.87
4949,有成精密,0,65,-65,-588.0,90.88
2353,宏碁,14,75,-61,-171.7,28.24
3645,達邁,4,62,-58,-682.3,117.63
00965,元大航太防衛科技,2,47,-45,-116.0,25.78
2356,英業達,1,43,-42,-198.5,47.27
8431,匯鑽科,1,40,-39,-278.3,71.8
,富邦恒生國企反1,0,36,-36,-31.8,8.84
6285,啟碁,18,52,-34,-825.7,240.86
6770,力積電,117,148,-31,-174.1,55.97
00929,復華台灣科技優息,5,34,-29,-65.1,22.43
,群益ESG投等債20+,1,30,-29,-42.3,14.87
1785,光洋科,0,28,-28,-440.5,156.52
6547,高端疫苗,0,27,-27,-129.4,47.91
2637,慧洋-KY,0,27,-27,-203.3,75.3
00712,復華富時不動產,1,27,-26,-23.6,9.07
,元大S&P500反1,0,26,-26,-10.9,4.2
4167,松瑞藥,0,24,-24,-47.0,19.6
2355,敬鵬,9,32,-23,-130.0,55.11
