code,name,net_shares,net_amount
2337,旺宏,1099,130315.0
3708,上緯投控,234,28309.0
2002,中鋼,225,4417.0
4741,泓瀚,213,6851.0
1528,恩德,205,5152.0
0056,元大高股息,193,7411.0
3062,建漢,174,4867.0
,群益ESG投等債0-5,150,1545.0
,主動元大AI新經濟,133,1593.0
009816,凱基台灣TOP50,131,1389.0
,群益優選非投等債,127,1224.0
6770,力積電,112,6564.0
,主動統一台股增長,111,2276.0
00878,國泰永續高股息,104,2318.0
,元大台灣50反1,87,1245.0
7723,築間,82,2851.0
6147,頎邦,77,5903.0
00919,群益台灣精選高息,72,1619.0
3013,晟銘電,71,7471.0
0050,元大台灣50,68,5065.0
2408,南亞科,67,14326.0
6962,奕力-KY,59,1922.0
2313,華通,53,14725.0
009815,大華美國MAG7+,52,475.0
2812,台中銀,46,952.0
2489,瑞軒,-511,-17357.0
00882,中信中國高股息,-332,-5110.0
4949,有成精密,-198,-13496.0
1304,台聚,-194,-3294.0
00712,復華富時不動產,-190,-1620.0
3481,群創,-115,-2827.0
,中信美國公債20年,-104,-2845.0
2369,菱生,-98,-2892.0
1785,光洋科,-73,-7109.0
8358,金居,-59,-13839.0
,國泰20年美債,-58,-1632.0
,元大滬深300正2,-57,-1120.0
2353,宏碁,-49,-1333.0
,元大S&P500反1,-40,-184.0
1802,台玻,-34,-1895.0
,元大美債20年,-32,-866.0
6285,啟碁,-30,-5547.0
2344,華邦電,-30,-2721.0
3605,宏致,-26,-1521.0
2305,全友,-23,-406.0
3209,全科,-21,-926.0
2351,順德,-21,-2093.0
3702,大聯大,-21,-1957.0
,主動復華未來50,-21,-255.0
6831,邁科,-20,-7609.0
