code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動中信台灣收益,324,5,319,304.5,9.52
6770,力積電,302,79,223,1504.3,67.35
2409,友達,345,160,185,493.4,26.75
,凱基A級公司債,150,20,130,177.5,13.65
,群益臺灣加權正2,206,80,126,140.2,11.12
009816,凱基台灣TOP50,181,67,114,171.4,15.03
,群益ESG投等債20+,114,5,109,155.1,14.23
1303,南亞,136,32,104,1996.7,191.25
6505,台塑化,94,4,90,644.4,71.49
1310,台苯,90,0,90,72.9,8.1
3135,凌航,87,1,86,1317.2,153.16
3702,大聯大,74,0,74,789.6,106.41
3441,聯一光,94,25,69,611.2,88.53
6226,光鼎,78,9,69,152.8,22.14
2317,鴻海,74,7,67,1644.8,244.44
2610,華航,67,5,62,123.7,19.94
,元大台灣50反1,160,100,60,61.3,10.22
2371,大同,63,8,55,148.6,27.01
009826,貝萊德世界股票,51,0,51,51.7,10.12
1314,中石化,50,0,50,39.2,7.83
,主動野村台灣50,47,0,47,105.4,22.42
,主動群益台灣強棒,41,0,41,90.8,21.71
,期元大S&P原油反1,41,0,41,50.4,12.29
2344,華邦電,64,27,37,622.3,167.49
,主動野村臺灣優選,35,0,35,86.2,23.99
3006,晶豪科,6,523,-517,-12534.9,242.57
,主動統一全球創新,57,330,-273,-455.3,16.74
,主動復華未來50,74,325,-251,-448.7,17.85
,主動統一台股增長,120,264,-144,-420.5,29.29
2312,金寶,26,145,-119,-379.7,31.91
2609,陽明,43,157,-114,-658.8,57.42
1815,富喬,7,105,-98,-954.2,97.26
,元大台灣50正2,151,232,-81,-272.9,33.79
5351,鈺創,11,84,-73,-933.6,127.08
3231,緯創,13,80,-67,-1216.3,182.14
,統一美債20年,0,60,-60,-79.0,13.0
,國泰20年美債,13,70,-57,-154.2,27.05
00935,野村臺灣新科技50,3,60,-57,-315.0,56.04
00900,富邦特選高股息30,0,55,-55,-102.3,18.6
1717,長興,0,43,-43,-300.9,69.45
2002,中鋼,0,37,-37,-70.1,18.95
,主動富邦台灣龍耀,39,76,-37,-30.9,8.37
,主動統一升級50,149,183,-34,-32.4,9.58
00919,群益台灣精選高息,15,46,-31,-95.8,30.41
3481,群創,160,192,-32,-148.4,47.19
2030,彰源,0,30,-30,-64.4,21.45
,主動國泰動能高息,44,73,-29,-41.4,14.29
5471,松翰,10,36,-26,-146.2,56.23
3090,日電貿,4,27,-23,-417.0,177.46
5450,南良,0,23,-23,-34.9,15.19
